district,sector,industry_opportunity_score,training_pressure_score,evidence_confidence,projection_available,industry_size,organization_count,candidate_aspiration,mssds_trained_2022_23,dsdp_training,projected_training,source,normalized_district,normalized_sector
Amravati,Automotive,7.47,,0.83,False,2885.0,6.0,134.0,90.0,390.0,,mssds_2023_projection_merged.csv,amravati,automotive
Amravati,Beauty & Wellness,1.56,,0.83,False,0.0,1.0,148.0,180.0,360.0,,mssds_2023_projection_merged.csv,amravati,beauty & wellness
Amravati,BFSI,10.84,,0.67,False,2926.0,8.0,455.0,,60.0,,mssds_2023_projection_merged.csv,amravati,bfsi
Amravati,Capital Goods,0.92,,0.67,False,36.0,2.0,6.0,,300.0,,mssds_2023_projection_merged.csv,amravati,capital goods
Amravati,Construction,2.78,,0.83,True,32.0,3.0,195.0,,1320.0,360.0,mssds_2023_projection_merged.csv,amravati,construction
Amravati,Electronics,3.17,40.0,1.0,True,29.0,2.0,298.0,90.0,360.0,60.0,mssds_2023_projection_merged.csv,amravati,electronics
Amravati,Food Processing,1.44,,0.5,False,,,65.0,450.0,450.0,,mssds_2023_projection_merged.csv,amravati,food processing
Amravati,Furniture & Fittings,0.55,,0.83,False,14.0,1.0,15.0,0.0,120.0,,mssds_2023_projection_merged.csv,amravati,furniture & fittings
Amravati,Green Jobs,1.44,0.0,1.0,True,179.0,2.0,48.0,60.0,270.0,0.0,mssds_2023_projection_merged.csv,amravati,green jobs
Amravati,Handicraft & Carpet,0.38,,0.33,False,,,17.0,,240.0,,mssds_2023_projection_merged.csv,amravati,handicraft & carpet
Amravati,Healthcare,5.36,,0.83,False,219.0,7.0,283.0,0.0,570.0,,mssds_2023_projection_merged.csv,amravati,healthcare
Amravati,Infrastructure,0.53,,0.67,False,37.0,1.0,9.0,,180.0,,mssds_2023_projection_merged.csv,amravati,infrastructure
Amravati,Iron & Steel,1.0,,0.67,False,250.0,1.0,32.0,,300.0,,mssds_2023_projection_merged.csv,amravati,iron & steel
Amravati,IT/ITeS,11.24,0.0,1.0,True,55.0,9.0,966.0,202.0,1050.0,0.0,mssds_2023_projection_merged.csv,amravati,it/ites
Amravati,Life Science,1.75,,0.67,False,3.0,3.0,67.0,,60.0,,mssds_2023_projection_merged.csv,amravati,life science
Amravati,Logistics,0.91,,0.83,False,1.0,2.0,12.0,90.0,330.0,,mssds_2023_projection_merged.csv,amravati,logistics
Amravati,Management,3.84,,0.67,False,170.0,4.0,254.0,,420.0,,mssds_2023_projection_merged.csv,amravati,management
Amravati,Media & Entertainment,1.88,,0.33,False,,,85.0,,120.0,,mssds_2023_projection_merged.csv,amravati,media & entertainment
Amravati,Paints & Coatings,0.15,,0.33,False,,,7.0,,60.0,,mssds_2023_projection_merged.csv,amravati,paints & coatings
Amravati,Persons with Disability,,,0.33,False,,,,100.0,120.0,,mssds_2023_projection_merged.csv,amravati,persons with disability
Amravati,Plumbing,0.33,,0.33,False,,,15.0,,90.0,,mssds_2023_projection_merged.csv,amravati,plumbing
Amravati,Power,2.03,,0.5,False,,,92.0,60.0,60.0,,mssds_2023_projection_merged.csv,amravati,power
Amravati,Retail,,,0.33,True,,,,,300.0,180.0,mssds_2023_projection_merged.csv,amravati,retail
Amravati,Telecom,0.77,0.0,1.0,True,40.0,1.0,39.0,300.0,390.0,0.0,mssds_2023_projection_merged.csv,amravati,telecom
Amravati,Textile,0.93,,0.67,False,200.0,1.0,31.0,,630.0,,mssds_2023_projection_merged.csv,amravati,textile
Amravati,Tourism & Hospitality,1.52,,0.67,False,,1.0,65.0,30.0,480.0,,mssds_2023_projection_merged.csv,amravati,tourism & hospitality
Chhatrapati Sambhajinagar,Aerospace & Aviation,1.15,,0.67,False,45.0,1.0,88.0,,60.0,,mssds_2023_projection_merged.csv,chhatrapati sambhajinagar,aerospace & aviation
Chhatrapati Sambhajinagar,Agriculture,1.97,60.0,1.0,True,37.0,2.0,142.0,60.0,1643.0,90.0,mssds_2023_projection_merged.csv,chhatrapati sambhajinagar,agriculture
Chhatrapati Sambhajinagar,Automotive,22.1,,0.83,False,6146.0,30.0,172.0,20.0,980.0,,mssds_2023_projection_merged.csv,chhatrapati sambhajinagar,automotive
Chhatrapati Sambhajinagar,BFSI,8.81,,0.67,False,3120.0,7.0,212.0,,150.0,,mssds_2023_projection_merged.csv,chhatrapati sambhajinagar,bfsi
Chhatrapati Sambhajinagar,Capital Goods,10.62,,0.83,False,2150.0,18.0,36.0,207.0,680.0,,mssds_2023_projection_merged.csv,chhatrapati sambhajinagar,capital goods
Chhatrapati Sambhajinagar,Construction,1.93,,0.83,True,200.0,1.0,161.0,,180.0,300.0,mssds_2023_projection_merged.csv,chhatrapati sambhajinagar,construction
Chhatrapati Sambhajinagar,Domestic Workers,0.24,,0.33,False,,,11.0,,60.0,,mssds_2023_projection_merged.csv,chhatrapati sambhajinagar,domestic workers
Chhatrapati Sambhajinagar,Electronics,4.87,70.0,1.0,True,284.0,5.0,314.0,90.0,640.0,210.0,mssds_2023_projection_merged.csv,chhatrapati sambhajinagar,electronics
Chhatrapati Sambhajinagar,Food Processing,3.53,,0.67,False,483.0,6.0,52.0,,240.0,,mssds_2023_projection_merged.csv,chhatrapati sambhajinagar,food processing
Chhatrapati Sambhajinagar,Green Jobs,1.06,0.0,0.83,True,,1.0,29.0,30.0,90.0,0.0,mssds_2023_projection_merged.csv,chhatrapati sambhajinagar,green jobs
Chhatrapati Sambhajinagar,Healthcare,3.62,,0.67,False,76.0,2.0,348.0,,120.0,,mssds_2023_projection_merged.csv,chhatrapati sambhajinagar,healthcare
Chhatrapati Sambhajinagar,Hydrocarbon,0.92,,0.67,False,50.0,2.0,4.0,,130.0,,mssds_2023_projection_merged.csv,chhatrapati sambhajinagar,hydrocarbon
