college,district,program,academic_year,semester,course,topic,skill,skill_normalized
Nashik University,Nashik,Computer Science Engineering / IT,2025-26,Unknown,Unknown,II Measurement and,its role in qualitycontrol.Understandingmeasurementunits andconversions.,Its Role In Qualitycontrol.Understandingmeasurementunits Andconversions
Nashik University,Nashik,Computer Science Engineering / IT,2025-26,SEMI,Unknown,V Energy and Environment,"CO4 Apply the knowledge of number systems, logic gates and Boolean","Co4 Apply The Knowledge Of Number Systems, Logic Gates And Boolean"
Nashik University,Nashik,Computer Science Engineering / IT,2025-26,SEMI,Unknown,V Functions (03Hrs)  COs Mapped - CO5,Linux,Linux
Nashik University,Nashik,Computer Science Engineering / IT,2025-26,SEMI,Unknown,V Energy and Environment,"CO3 Apply the knowledge of semiconductor diodes, transistors and","Co3 Apply The Knowledge Of Semiconductor Diodes, Transistors And"
Nashik University,Nashik,Computer Science Engineering / IT,2025-26,SEMI,Unknown,"ary building, Temple architecture",CO2 Apply control structure and loops to build a solution for a given problem   3-Apply,Co2 Apply Control Structure And Loops To Build A Solution For A Given Problem   3-Apply
Nashik University,Nashik,Computer Science Engineering / IT,2025-26,SEMI,Unknown,"ary building, Temple architecture",CO1 Use the core concepts of python to write a python program  3-Apply,Co1 Use The Core Concepts Of Python To Write A Python Program  3-Apply
Nashik University,Nashik,Computer Science Engineering / IT,2025-26,SEMI,Unknown,V Energy and Environment,2- Understand,2- Understand
Nashik University,Nashik,Computer Science Engineering / IT,2025-26,SEMI,Unknown,V                Web Publishing or Hosting 06Hrs COs mapped – CO5,Database,Database
Nashik University,Nashik,Computer Science Engineering / IT,2025-26,SEMI,Unknown,No. 5 (10 Questions - 10 Marks),CO2 Interpret engineering drawing by visualization. 2-Understand,Co2 Interpret Engineering Drawing By Visualization. 2-Understand
Nashik University,Nashik,Computer Science Engineering / IT,2025-26,Unknown,Unknown,V Multiple  Integrals and their Applications 7hrs+2hrsTutorial COs Mapped -,"ordinary differential equations using Numerical Methods. CO1, CO3 ,","Ordinary Differential Equations Using Numerical Methods. Co1, Co3 ,"
Nashik University,Nashik,Computer Science Engineering / IT,2025-26,Unknown,Unknown,Unknown,2-Understanding,2-Understanding
Nashik University,Nashik,Computer Science Engineering / IT,2025-26,SEMI,Unknown,V Functions (03Hrs)  COs Mapped - CO5,Python,Python
Nashik University,Nashik,Computer Science Engineering / IT,2025-26,Unknown,Unknown,V Introduction to Probability and Counting (07hrs+,"problems on matrices using Matlab. CO1, CO2,","Problems On Matrices Using Matlab. Co1, Co2,"
Nashik University,Nashik,Computer Science Engineering / IT,2025-26,Unknown,Unknown,"V Workshop Projects, Problem-",CO2 Present the knowledge gained by all coo curricular activities. 4- Analyze,Co2 Present The Knowledge Gained By All Coo Curricular Activities. 4- Analyze
Nashik University,Nashik,Computer Science Engineering / IT,2025-26,SEMI,Unknown,V Functions (03Hrs)  COs Mapped - CO5,CO2 Demonstratelong-term retention of knowledge and skills acquired. 3-Apply,Co2 Demonstratelong-Term Retention Of Knowledge And Skills Acquired. 3-Apply
Nashik University,Nashik,Computer Science Engineering / IT,2025-26,SEMI,Unknown,V Energy and Environment,CO5 Analyze the basic analog and digital application circuits. 4-Analyze,Co5 Analyze The Basic Analog And Digital Application Circuits. 4-Analyze
Nashik University,Nashik,Computer Science Engineering / IT,2025-26,SEMI,Unknown,"ary building, Temple architecture",CO5 Develop programs using functions  3-Apply,Co5 Develop Programs Using Functions  3-Apply
Nashik University,Nashik,Computer Science Engineering / IT,2025-26,Unknown,Unknown,Unknown,"CO5 Analyze the nature of quadratic forms, extreme values of the","Co5 Analyze The Nature Of Quadratic Forms, Extreme Values Of The"
Nashik University,Nashik,Computer Science Engineering / IT,2025-26,Unknown,Unknown,"V Workshop Projects, Problem-","CO3 Apply concept of numerical methods, differential and multivariate","Co3 Apply Concept Of Numerical Methods, Differential And Multivariate"
Nashik University,Nashik,Computer Science Engineering / IT,2025-26,SEMI,Unknown,"ary building, Temple architecture",3-Apply,3-Apply
Nashik University,Nashik,Computer Science Engineering / IT,2025-26,SEMI,Unknown,No. 5 (10 Questions - 10 Marks),CO1 Explain the need of engineering drawing and its standards. 2-Understand,Co1 Explain The Need Of Engineering Drawing And Its Standards. 2-Understand
Nashik University,Nashik,Computer Science Engineering / IT,2025-26,SEMI,Unknown,V Development of Lateral Surfaces of Solids and,Algorithms,Algorithms
Nashik University,Nashik,Computer Science Engineering / IT,2025-26,SEMI,Unknown,V Multiple  Integrals and their Applications 7hrs+2hrsTutorial COs Mapped -,and wave equations in real life problems 3-Apply,And Wave Equations In Real Life Problems 3-Apply
Savitribai Phule Pune University,Pune,Computer Science Engineering / IT,2025-26,Unknown,Unknown,Unknown,"6. Social responsibility: Apply reasoning informed by the contextual knowledge to assess social,","6. Social Responsibility: Apply Reasoning Informed By The Contextual Knowledge To Assess Social,"
Savitribai Phule Pune University,Pune,Computer Science Engineering / IT,2025-26,Unknown,Unknown,Unknown,Linux,Linux
Savitribai Phule Pune University,Pune,Computer Science Engineering / IT,2025-26,Unknown,Unknown,Unknown,"problems involving sets, functions, sequences and summation","Problems Involving Sets, Functions, Sequences And Summation"
Savitribai Phule Pune University,Pune,Computer Science Engineering / IT,2025-26,Unknown,Unknown,Unknown,Operating System,Operating System
Savitribai Phule Pune University,Pune,Computer Science Engineering / IT,2025-26,Unknown,Unknown,Unknown,"Understanding users through interviews, personas, empathy maps/affinity","Understanding Users Through Interviews, Personas, Empathy Maps/Affinity"
Savitribai Phule Pune University,Pune,Computer Science Engineering / IT,2025-26,Unknown,Unknown,Unknown,Security,Security
Savitribai Phule Pune University,Pune,Computer Science Engineering / IT,2025-26,Unknown,Unknown,Unknown,"design technique that would be most suitable to solve a given problem, justify the technique","Design Technique That Would Be Most Suitable To Solve A Given Problem, Justify The Technique"
Savitribai Phule Pune University,Pune,Computer Science Engineering / IT,2025-26,Unknown,Unknown,Unknown,visualization libraries in Python like Matplotlib and Seaborn to gain insight of the dataset.,Visualization Libraries In Python Like Matplotlib And Seaborn To Gain Insight Of The Dataset
Savitribai Phule Pune University,Pune,Computer Science Engineering / IT,2025-26,Unknown,Unknown,Unknown,and compare given algorithms for time and space complexity.,And Compare Given Algorithms For Time And Space Complexity
Savitribai Phule Pune University,Pune,Computer Science Engineering / IT,2025-26,Unknown,Unknown,Unknown,"the fundamental concepts of various data structures (e.g., arrays, linked lists,","The Fundamental Concepts Of Various Data Structures (E.G., Arrays, Linked Lists,"
Savitribai Phule Pune University,Pune,Computer Science Engineering / IT,2025-26,Unknown,Unknown,Unknown,different UML diagrams for given problems.,Different Uml Diagrams For Given Problems
Savitribai Phule Pune University,Pune,Computer Science Engineering / IT,2025-26,Unknown,Unknown,Unknown,7. Environment and sustainability: Understand the impact of the professional computer,7. Environment And Sustainability: Understand The Impact Of The Professional Computer
Savitribai Phule Pune University,Pune,Computer Science Engineering / IT,2025-26,Unknown,Unknown,Unknown,Java,Java
Savitribai Phule Pune University,Pune,Computer Science Engineering / IT,2025-26,Unknown,Unknown,Unknown,the structure of OS and basic architectural components involved in OS design.,The Structure Of Os And Basic Architectural Components Involved In Os Design
Savitribai Phule Pune University,Pune,Computer Science Engineering / IT,2025-26,Unknown,Unknown,Unknown,Python,Python
Savitribai Phule Pune University,Pune,Computer Science Engineering / IT,2025-26,Unknown,Unknown,Unknown,the concepts of linear and non-linear data structure and their representation,The Concepts Of Linear And Non-Linear Data Structure And Their Representation
Savitribai Phule Pune University,Pune,Computer Science Engineering / IT,2025-26,Unknown,Unknown,Unknown,principles of relations to solving real life problems.,Principles Of Relations To Solving Real Life Problems
Savitribai Phule Pune University,Pune,Computer Science Engineering / IT,2025-26,Unknown,Unknown,Unknown,"the time complexity of different searching, sorting, and traversal algorithms.","The Time Complexity Of Different Searching, Sorting, And Traversal Algorithms"
Savitribai Phule Pune University,Pune,Computer Science Engineering / IT,2025-26,Unknown,Unknown,Unknown,Data Structures,Data Structures
Savitribai Phule Pune University,Pune,Computer Science Engineering / IT,2025-26,Unknown,Unknown,Unknown,"Performance aspects, Instruction set architecture, and Functional Units.","Performance Aspects, Instruction Set Architecture, And Functional Units"
Savitribai Phule Pune University,Pune,Computer Science Engineering / IT,2025-26,Unknown,Unknown,Unknown,"1. Computer engineering knowledge: Apply the knowledge of mathematics, science, computer","1. Computer Engineering Knowledge: Apply The Knowledge Of Mathematics, Science, Computer"
Savitribai Phule Pune University,Pune,Computer Science Engineering / IT,2025-26,Unknown,Unknown,Unknown,principles of counting and induction to solve real life problems.,Principles Of Counting And Induction To Solve Real Life Problems
Savitribai Phule Pune University,Pune,Computer Science Engineering / IT,2025-26,Unknown,Unknown,Unknown,transformation between multiple representations of automata/machines.,Transformation Between Multiple Representations Of Automata/Machines
Savitribai Phule Pune University,Pune,Computer Science Engineering / IT,2025-26,Unknown,Unknown,Unknown,Algorithms,Algorithms
Savitribai Phule Pune University,Pune,Computer Science Engineering / IT,2025-26,Unknown,Unknown,Unknown,different computer arithmetic principles for implementation of functional units.,Different Computer Arithmetic Principles For Implementation Of Functional Units
Savitribai Phule Pune University,Pune,Computer Science Engineering / IT,2025-26,Unknown,Unknown,Unknown,Algorithmic Problem Solving Platforms:Activity: Solve algorithmic problems on platforms like,Algorithmic Problem Solving Platforms:Activity: Solve Algorithmic Problems On Platforms Like
Savitribai Phule Pune University,Pune,Computer Science Engineering / IT,2025-26,Unknown,Unknown,Unknown,"the memory, file, and resource management techniques.","The Memory, File, And Resource Management Techniques"
Savitribai Phule Pune University,Pune,Computer Science Engineering / IT,2025-26,Unknown,Unknown,Unknown,problems involving algebraic systems.,Problems Involving Algebraic Systems
