record_type,job_title,district,skills_required,salary_min_inr_year,salary_max_inr_year,employer_or_source,posted_date,source,source_url,collection_note
NCS_live_listing_snapshot,PEN PACKING JOB WORK FROM HOME,Mumbai,Packager,300000.0,360000.0,Quikr India Pvt Ltd,21/07/2026,National Career Service (NCS),https://www.ncs.gov.in/job-seeker/pages/search.aspx,Search-engine-indexed NCS listing; portal is dynamic and listings change.
NCS_live_listing_snapshot,Tempo required with Driver for Delivery,Mumbai,Delivery/Collections,456000.0,480000.0,Quikr India Pvt Ltd,21/07/2026,National Career Service (NCS),https://www.ncs.gov.in/job-seeker/pages/search.aspx,Search-engine-indexed NCS listing; portal is dynamic and listings change.
NCS_live_listing_snapshot,Field work,Mumbai,Others,300000.0,420000.0,Quikr India Pvt Ltd,21/07/2026,National Career Service (NCS),https://www.ncs.gov.in/job-seeker/pages/search.aspx,Search-engine-indexed NCS listing; portal is dynamic and listings change.
NCS_live_listing_snapshot,SAREE PACKING JOB WORK FROM HOME,Mumbai,Packager,348000.0,360000.0,Quikr India Pvt Ltd,05/08/2026,National Career Service (NCS),https://www.ncs.gov.in/job-seeker/pages/search.aspx,Search-engine-indexed NCS listing; portal is dynamic and listings change.
NCS_live_listing_snapshot,Tattoo Artists,Mumbai,Others,168000.0,204000.0,Quikr India Pvt Ltd,02/08/2026,National Career Service (NCS),https://www.ncs.gov.in/job-seeker/pages/search.aspx,Search-engine-indexed NCS listing; portal is dynamic and listings change.
NCS_live_listing_snapshot,Pencil Packing job Work from home,Mumbai,Packager,300000.0,360000.0,Quikr India Pvt Ltd,23/07/2026,National Career Service (NCS),https://www.ncs.gov.in/job-seeker/pages/search.aspx,Search-engine-indexed NCS listing; portal is dynamic and listings change.
